"guide","dataset","table","variable","type","n_rows","missing","missing_pct","distinct","domain_or_distribution","values_if_small_domain","metadata_match","plida_variable_descriptions","plida_products","blade_item","blade_valid_response","blade_available_periods"
"blade","BLADE","abs-blade","a_cotton","numeric",5785,5613,97.0268,153,"0.5800 / 2.5325 / 4.1800 / 6.4075 / 17.2400","","matched PLIDA variable metadata","Hectares of cotton planted, covering both irrigated and dryland crops in the one figure. The ABS item is ""Other crops - Cotton (irrigated a…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Cotton","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_grapes","numeric",5785,5613,97.0268,155,"0.7600 / 2.3025 / 3.9600 / 6.7225 / 17.9400","","matched PLIDA variable metadata","Total hectares of grapevines the business had planted, bearing and non-bearing together. It is the sum that a_bear_grapes and a_nonbear_gra…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Grapes","Numeric (ha)","2010-11"
"blade","BLADE","abs-blade","a_hay","numeric",5785,5613,97.0268,154,"0.570 / 2.655 / 4.140 / 6.395 / 18.360","","matched PLIDA variable metadata","Hectares of crop and pasture cut for hay during the year, explicitly excluding silage. The ABS item is ""Hay and silage - Pasture (including…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Crops and pasture cut for hay (exc. silage)","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_irrig_cotton","numeric",5785,5613,97.0268,154,"0.7300 / 2.6325 / 4.2150 / 6.6350 / 19.1000","","matched PLIDA variable metadata","Hectares of cotton that received irrigation water, the column that splits an irrigated crop out of the pooled cotton area. Because a_cotton…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area irrigated, Cotton","Numeric (ha)","2000-01;2001-02;2003-04;2004-05;2005-06;2006-07;2007-08;200…"
"blade","BLADE","abs-blade","a_irrig_fruit_and_nuts","numeric",5785,5613,97.0268,151,"0.5000 / 2.5800 / 4.3700 / 6.3625 / 19.3400","","matched PLIDA variable metadata","Hectares of fruit and nut plantings that received irrigation water, pooling orchards, plantation fruit and nut trees into one figure. It is…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area irrigated, Fruit and Nuts","Numeric (ha)","2000-01;2001-02;2003-04;2004-05;2005-06;2006-07;2007-08;200…"
"blade","BLADE","abs-blade","a_irrig_grapes","numeric",5785,5613,97.0268,160,"0.5300 / 2.4875 / 3.9000 / 6.6150 / 17.6400","","matched PLIDA variable metadata","Hectares of grapevines that received irrigation water. Almost all Australian vineyards outside a few cool high-rainfall districts are irrig…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area irrigated, Grapevines","Numeric (ha)","2000-01;2001-02;2003-04;2004-05;2005-06;2006-07;2007-08;200…"
"blade","BLADE","abs-blade","a_irrig_hay","numeric",5785,5613,97.0268,156,"0.5100 / 2.7875 / 4.5450 / 7.3525 / 18.6500","","matched PLIDA variable metadata","Hectares of hay or silage crop that received irrigation water. Note the scope difference on the row: this column covers hay and silage, whi…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area irrigated, Hay / Silage","Numeric (ha)","2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;201…"
"blade","BLADE","abs-blade","a_irrig_other_broad","numeric",5785,5613,97.0268,164,"1.0700 / 2.6050 / 4.4350 / 6.5375 / 17.3800","","matched PLIDA variable metadata","Hectares of broadacre crops outside the named groups that received irrigation water, covering irrigated oilseeds, pulses and other field cr…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area irrigated, Other broadacre","Numeric (ha)","2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;201…"
"blade","BLADE","abs-blade","a_irrig_other_cereals","numeric",5785,5613,97.0268,156,"0.7600 / 2.7300 / 4.2650 / 6.2425 / 15.4800","","matched PLIDA variable metadata","Hectares of cereals other than rice that received irrigation water, so irrigated wheat, barley and maize pooled into one line. Irrigating a…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area irrigated, Other cereals","Numeric (ha)","2000-01;2001-02;2003-04;2004-05;2005-06;2006-07;2007-08;200…"
"blade","BLADE","abs-blade","a_irrig_other_crops","numeric",5785,5613,97.0268,156,"0.5300 / 2.6325 / 4.5200 / 7.3025 / 19.4200","","matched PLIDA variable metadata","Hectares of crops outside every other irrigation group that received water, the catch-all of the irrigation block. It sits below a_irrig_ot…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area irrigated, Other crops","Numeric (ha)","2000-01;2001-02;2003-04;2004-05;2005-06;2006-07;2007-08;200…"
"blade","BLADE","abs-blade","a_irrig_pasture","numeric",5785,5613,97.0268,153,"0.9000 / 2.5925 / 4.4250 / 6.5725 / 21.5000","","matched PLIDA variable metadata","Hectares of pasture and grazing land that received irrigation water, the mainstay of irrigated dairy and of grazing on irrigation country. …","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area irrigated, Pasture / Grazing","Numeric (ha)","2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;201…"
"blade","BLADE","abs-blade","a_irrig_rice","numeric",5785,5613,97.0268,155,"0.5500 / 2.6925 / 4.2100 / 6.4525 / 18.7500","","matched PLIDA variable metadata","Hectares of rice to which irrigation water was applied during the year. Rice in Australia is grown under permanent water, so this column sh…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area irrigated, Rice","Numeric (ha)","2000-01;2001-02;2003-04;2004-05;2005-06;2006-07;2007-08;200…"
"blade","BLADE","abs-blade","a_irrig_sugar_cane","numeric",5785,5613,97.0268,155,"0.750 / 2.485 / 4.020 / 7.260 / 22.090","","matched PLIDA variable metadata","Hectares of sugar cane that received irrigation water. Cane in the wet tropics is largely rain-grown while the Burdekin and southern distri…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area irrigated, Sugar cane","Numeric (ha)","2000-01;2001-02;2003-04;2004-05;2005-06;2006-07;2007-08;200…"
"blade","BLADE","abs-blade","a_irrig_veges","numeric",5785,5613,97.0268,159,"0.5700 / 2.3050 / 3.8850 / 7.1975 / 15.8400","","matched PLIDA variable metadata","Hectares of vegetables that received irrigation water, pooling every vegetable crop into one line. Commercial vegetable growing is essentia…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area irrigated, Vegetables","Numeric (ha)","2000-01;2001-02;2003-04;2004-05;2005-06;2006-07;2007-08;200…"
"blade","BLADE","abs-blade","a_it_w_amt","numeric",5785,5699,98.5134,86,"551.78 / 1297.01 / 1703.53 / 3016.36 / 6691.40","","matched PLIDA variable metadata","Tax the business withheld from its own suppliers because they did not quote an ABN, reported at label W4 of the activity statement. The ATO…","blade-table-04-business-activity-statement-bas","Amount withheld from payment of invoices where no ABN is quoted","Numeric ($)","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;200…"
"blade","BLADE","abs-blade","a_lettuce","numeric",5785,5613,97.0268,157,"0.520 / 2.720 / 4.235 / 6.650 / 19.260","","matched PLIDA variable metadata","Hectares of lettuce grown during the year. Lettuce turns over in eight to twelve weeks, so a grower can take three or more crops off the sa…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Lettuce","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_maize","numeric",5785,5613,97.0268,150,"0.6000 / 2.3250 / 4.1300 / 6.4125 / 17.3200","","matched PLIDA variable metadata","Hectares of maize, a summer cereal grown for grain and, on dairy and feedlot country, for silage. FLAD keeps it apart from the other cereal…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Maize","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_melons","numeric",5785,5613,97.0268,154,"0.9700 / 2.5625 / 4.7050 / 6.8050 / 14.6400","","matched PLIDA variable metadata","Hectares of melons, pooling watermelons, rockmelons and honeydew. The crop follows the sun up the east coast and into the Northern Territor…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Melons","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_nonbear_bananas","numeric",5785,5613,97.0268,151,"0.560 / 2.825 / 4.660 / 6.565 / 16.700","","matched PLIDA variable metadata","Hectares of bananas planted but not yet old enough to fruit, the investment side of a plantation. A large non-bearing area is a grower expa…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area (non-bearing age), Bananas","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_nonbear_grapes","numeric",5785,5613,97.0268,158,"0.8100 / 2.4775 / 4.2600 / 6.5925 / 19.4400","","matched PLIDA variable metadata","Hectares of grapevines planted but not yet cropping, the three-year investment lag before a new vineyard earns anything. This column is the…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area (non-bearing age), Grapes","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_nonbear_other_fruit","numeric",5785,5613,97.0268,156,"0.8600 / 2.5450 / 4.3350 / 6.2975 / 24.3500","","matched PLIDA variable metadata","Hectares of young, not-yet-bearing fruit outside the named crops and the orchard group. It is the establishment counterpart to a_bear_other…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area (non-bearing age), Other fruit","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_nonbear_other_orchard","numeric",5785,5613,97.0268,157,"0.5500 / 2.4775 / 4.0700 / 6.8325 / 21.5000","","matched PLIDA variable metadata","Hectares of orchard planted but not yet bearing, outside the crops FLAD names. Tree fruit takes three to seven years to come into commercia…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area (non-bearing age), Other orchard","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_nonbear_pineapples","numeric",5785,5613,97.0268,154,"0.7600 / 2.7800 / 4.3850 / 6.9975 / 19.3400","","matched PLIDA variable metadata","Hectares of pineapples planted but not yet fruiting. Because the crop takes up to two years to come in, this column leads a_bear_pineapples…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area (non-bearing age), Pineapples","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_oats","numeric",5785,5613,97.0268,155,"0.660 / 2.445 / 4.350 / 6.745 / 15.900","","matched PLIDA variable metadata","Hectares of oats grown for grain. The ABS item is ""Cereal crops - Oats for grain - Area (ha)"", and oats is the cereal most often sown for g…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Oats","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_onions","numeric",5785,5613,97.0268,161,"0.880 / 2.140 / 4.030 / 7.215 / 18.870","","matched PLIDA variable metadata","Hectares of onions, a bulb crop grown mainly in Tasmania, South Australia and Queensland and stored for months after harvest. Storage means…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Onions","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_other_cereals","numeric",5785,5613,97.0268,156,"0.9800 / 2.7425 / 4.1300 / 6.7200 / 19.0500","","matched PLIDA variable metadata","Hectares of cereals other than the ones FLAD names, a residual line covering rye, millet and buckwheat. It also absorbs anything the form d…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Other cereals","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_other_crops","numeric",5785,5613,97.0268,156,"0.9600 / 2.5875 / 4.0400 / 6.1300 / 20.4200","","matched PLIDA variable metadata","Hectares of broadacre crops that FLAD does not name, the residual line for the field-crop group. It exists because the ABS itemised differe…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Other broadacre crops","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_other_legumes","numeric",5785,5613,97.0268,155,"0.6900 / 2.7175 / 4.3800 / 6.9275 / 19.5900","","matched PLIDA variable metadata","Hectares of pulses other than beans and peanuts, so lupins, chickpeas, field peas, lentils and vetch pooled into one line. This is the colu…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Other legumes/Pulses","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_other_oilseeds","numeric",5785,5613,97.0268,156,"0.7500 / 2.6825 / 4.1900 / 6.6125 / 21.5000","","matched PLIDA variable metadata","Hectares of oilseeds other than canola, chiefly sunflower, soybean, safflower and linseed. FLAD reports it as one line because the individu…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Other oilseeds","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_other_veges","numeric",5785,5613,97.0268,159,"0.60 / 2.60 / 4.37 / 6.88 / 21.99","","matched PLIDA variable metadata","Hectares of vegetables other than those FLAD names, and explicitly not vegetables grown for seed. It is the residual vegetable line, so it …","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Other vegetables (not for seed)","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_other_veges_m2","numeric",5785,5613,97.0268,172,"59030.2 / 230794.8 / 326612.1 / 519547.4 / 1228694.7","","matched PLIDA variable metadata","The same residual vegetable area as a_other_veges but recorded in square metres, for plantings too small to report sensibly in hectares. Pr…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Other vegetables (not for seed), in m2","Numeric (m)","2000-01;2001-02;2005-06;2006-07;2008-09;2010-11;2013-14;201…"
"blade","BLADE","abs-blade","a_peanuts","numeric",5785,5613,97.0268,157,"0.6500 / 2.6325 / 4.0100 / 6.5650 / 19.1400","","matched PLIDA variable metadata","Hectares of peanuts, a summer legume grown mostly on the Queensland coast and Darling Downs and processed through a small number of buyers.…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Peanuts","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_potatoes","numeric",5785,5613,97.0268,159,"0.7300 / 2.6925 / 4.4700 / 7.1825 / 21.5000","","matched PLIDA variable metadata","Hectares of potatoes, the largest vegetable crop by area in Australia and the only one the ABS publishes as a headline item. The ABS collec…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Potatoes","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_rice","numeric",5785,5613,97.0268,153,"0.5400 / 2.7525 / 4.2250 / 6.1125 / 22.6800","","matched PLIDA variable metadata","Hectares of rice grown for grain, a summer crop concentrated in the New South Wales Riverina and almost entirely irrigated. The ABS item is…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Rice","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_sorghum","numeric",5785,5613,97.0268,160,"0.5200 / 2.5350 / 4.3150 / 6.8225 / 16.7800","","matched PLIDA variable metadata","Hectares of grain sorghum, a summer cereal grown mainly in Queensland and northern New South Wales. The ABS item is ""Cereal crops - Sorghum…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Sorghum","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_sugar_cane","numeric",5785,5613,97.0268,156,"0.9700 / 2.6225 / 4.6750 / 7.1125 / 17.0000","","matched PLIDA variable metadata","Hectares of sugar cane, a perennial crop that is ratooned and cut over several years rather than resown each season. The ABS publishes it a…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Sugar cane","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_tomatoes","numeric",5785,5613,97.0268,148,"1.040 / 2.615 / 4.495 / 6.845 / 17.080","","matched PLIDA variable metadata","Hectares of tomatoes, a crop that splits into a large field-grown processing harvest and a smaller fresh crop. More of the fresh crop is no…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Tomatoes","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_triticale","numeric",5785,5613,97.0268,157,"0.5300 / 2.4900 / 4.1850 / 6.7325 / 19.7500","","matched PLIDA variable metadata","Hectares of triticale, a wheat and rye hybrid grown as a minor feed cereal, usually on acid or low-fertility soils where wheat does poorly.…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Triticale","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","a_wheat","numeric",5785,5613,97.0268,161,"0.6100 / 2.8625 / 4.3750 / 6.5300 / 23.7600","","matched PLIDA variable metadata","Hectares of wheat the business grew for grain in the year, the single largest crop area on most Australian cropping farms. The ABS collects…","blade-table-57-farm-level-analytical-dataset-flad-idw | blade-table-58-farm-level-analytical-dataset-flad-suc","Area, Wheat","Numeric (ha)","2000-01;2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;200…"
"blade","BLADE","abs-blade","abandadm_bcs","integer",5785,5699,98.5134,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Methods for accounting or other administrative operations","blade-table-08-business-characteristics-survey-bcs","Methods for accounting or other administrative operations","","2018-19;2019-20"
"blade","BLADE","abs-blade","abandadm_im","integer",5785,5699,98.5134,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","The BLADE DIL does not supply a variable description.","blade-table-10-business-characteristics-survey-innovation-module-im","","","2020-21;2022-23"
"blade","BLADE","abs-blade","abandgoo_bcs","integer",5785,5699,98.5134,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Goods or services","blade-table-08-business-characteristics-survey-bcs","Goods or services","0 = No 1 = Yes 999999999 = Missing","2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;201…"
"blade","BLADE","abs-blade","abandgoo_im","integer",5785,5699,98.5134,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","During the last two financial years, did this business abandon (during development or introduction) any new or significantly improved: (Tic…","blade-table-10-business-characteristics-survey-innovation-module-im","During the last two financial years, did this business abandon (during development or introduction) any new or significantly improved: (Tic…","0 = No","2020-21;2022-23"
"blade","BLADE","abs-blade","abandgoods","integer",5785,5699,98.5134,2,"0 / 0 / 1 / 1 / 1","0; 1","matched PLIDA variable metadata","Abandoned innovation activity","blade-table-09-business-characteristics-survey-management-capabilities-module-mcm","Abandoned innovation activity","0 = No 1 = Yes","2015-16"
"blade","BLADE","abs-blade","abandinf_bcs","integer",5785,5699,98.5134,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Methods for information processing or communication","blade-table-08-business-characteristics-survey-bcs","Methods for information processing or communication","","2018-19;2019-20"
"blade","BLADE","abs-blade","abandinf_im","integer",5785,5699,98.5134,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","The BLADE DIL does not supply a variable description.","blade-table-10-business-characteristics-survey-innovation-module-im","","","2020-21;2022-23"
"blade","BLADE","abs-blade","abandlog_bcs","integer",5785,5699,98.5134,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","Logistics, delivery and distribution methods","blade-table-08-business-characteristics-survey-bcs","Logistics, delivery and distribution methods","","2018-19;2019-20"
"blade","BLADE","abs-blade","abandlog_im","integer",5785,5699,98.5134,4,"0e+00 / 0e+00 / 5e-01 / 1e+00 / 1e+09","0; 1; 88888888; 999999999","matched PLIDA variable metadata","The BLADE DIL does not supply a variable description.","blade-table-10-business-characteristics-survey-innovation-module-im","","999999999 = Missing","2020-21;2022-23"
