"dataset","variable","variable_description","description_source","description_source_url"
"BIRTHS","MB_CODE_2021_FLAG","Flag associated with the 2021 Mesh Block code.","PLIDA DIL variable identifier and table context","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"BIRTHS","P2_IMPUTE_FLAG","Parent 2 imputation flag.","PLIDA DIL variable identifier and ABS Births methodology","https://www.abs.gov.au/methodologies/births-australia-methodology/2024"
"BIRTHS","POSTALTYPE","Type of postal address.","Related PLIDA DIL address-variable description","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"BIRTHS","SA2_CODE_2021_FLAG","Flag associated with the 2021 Statistical Area Level 2 code.","PLIDA DIL variable identifier and table context","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"BIRTHS","SUB_ADR_FLAG","Address-coding subflag.","Related PLIDA DIL address-variable description","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"NACDC","ACCOMMODATION_TYPE","Type of accommodation in which the recipient usually lives.","AIHW NACDC Data Dictionary","https://www.aihw.gov.au/getmedia/ecaa11d3-587d-420b-8f6f-7fefc3131196/aihw-age-103-data-dictionary-2020.pdf.aspx?inline=true"
"NACDC","ASSISTANCE_COST_AMT","Cost amount of assistance provided.","DSS CHSP Data Exchange Protocols","https://dex.dss.gov.au/document/1836"
"NACDC","ASSISTANCE_MINUTES_NBR","Number of minutes of assistance provided.","DSS CHSP Data Exchange Protocols","https://dex.dss.gov.au/document/1836"
"NACDC","ASSISTANCE_QUANTITY_NBR","Quantity of assistance provided.","DSS CHSP Data Exchange Protocols","https://dex.dss.gov.au/document/1836"
"NACDC","CARER_EXISTENCE","Indicator that the recipient has a carer or care arrangement.","DSS CHSP Data Exchange Protocols","https://dex.dss.gov.au/document/1836"
"NACDC","DISABILITY_IND","Indicator that the recipient identifies a disability, impairment or condition.","DSS CHSP Data Exchange Protocols","https://dex.dss.gov.au/document/1836"
"NACDC","DISABILITY_LEARNING_IND","Indicator for an intellectual or learning disability.","DSS CHSP Data Exchange Protocols","https://dex.dss.gov.au/document/1836"
"NACDC","DISABILITY_PHYSICAL_IND","Indicator for a physical or diverse disability.","DSS CHSP Data Exchange Protocols","https://dex.dss.gov.au/document/1836"
"NACDC","DISABILITY_PSYCHIATRIC_IND","Indicator for a psychiatric disability.","DSS CHSP Data Exchange Protocols","https://dex.dss.gov.au/document/1836"
"NACDC","DISABILITY_SENSORY_IND","Indicator for a sensory or speech disability.","DSS CHSP Data Exchange Protocols","https://dex.dss.gov.au/document/1836"
"NACDC","DISABILITY_UNSPECIFIED_IND","Indicator that a disability is recorded without a specified group.","DSS CHSP Data Exchange Protocols","https://dex.dss.gov.au/document/1836"
"NACDC","OUTLET_SA2_CODE_2016","2016 Statistical Area Level 2 code for the service outlet.","PLIDA DIL variable identifier and AIHW NACDC Data Dictionary","https://www.aihw.gov.au/getmedia/ecaa11d3-587d-420b-8f6f-7fefc3131196/aihw-age-103-data-dictionary-2020.pdf.aspx?inline=true"
"NACDC","PROVIDER_PURPOSE","Provider ownership purpose: for-profit, not-for-profit or government.","AIHW NACDC Data Dictionary","https://www.aihw.gov.au/getmedia/ecaa11d3-587d-420b-8f6f-7fefc3131196/aihw-age-103-data-dictionary-2020.pdf.aspx?inline=true"
"NDIS","ACSMETDSBLTYAFTREIDCSNDT","Date on which disability access requirements were met after an early-intervention decision.","PLIDA DIL variable identifier and NDIS dataset context","https://dataresearch.ndis.gov.au/datasets"
"NDIS","BN","Business number for the provider.","Related PLIDA DIL description and NDIS provider context","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"NDIS","DECIND","Indicator recorded as DECIND; the source metadata does not define the abbreviation.","PLIDA DIL variable identifier","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"NDIS","EARLYINTRVTNIND","Indicator that the access decision met the early-intervention requirements.","PLIDA DIL variable identifier and NDIS dataset context","https://dataresearch.ndis.gov.au/datasets"
"NDIS","EVEREARLYINTRVTNIND","Indicator that the person has ever met the early-intervention requirements.","PLIDA DIL variable identifier and NDIS dataset context","https://dataresearch.ndis.gov.au/datasets"
"NDIS","GOALTOLEAVEIND","Indicator that a participant in residential aged care has a goal to leave residential aged care.","NDIS Quarterly Report to disability ministers","https://ndis.gov.au/media/7318/download?attachment="
"NDIS","INACTIVEDT","Date on which the participant goal became inactive.","PLIDA DIL variable identifier and NDIS dataset context","https://dataresearch.ndis.gov.au/datasets"
"NDIS","PMTRQSTPRVDR_BN","Business number of the provider associated with the payment request.","PLIDA DIL variable identifier and NDIS dataset context","https://dataresearch.ndis.gov.au/datasets"
"NDIS","POSTRACHSGSUPP","Post-residential-aged-care housing-support indicator.","PLIDA DIL variable identifier and NDIS dataset context","https://dataresearch.ndis.gov.au/datasets"
"NDIS","PRVDR_BN","Business number of the provider associated with the payment.","PLIDA DIL variable identifier and NDIS dataset context","https://dataresearch.ndis.gov.au/datasets"
"PIT_ITR","AGE2324_END","Age at the end of the 2023-24 financial year.","Related PLIDA DIL age-variable descriptions","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"PIT_ITR","AGE2324_START","Age at the start of the 2023-24 financial year.","Related PLIDA DIL age-variable descriptions","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"PIT_ITR","GEOCODE_INDEX","Geocode index associated with the record.","PLIDA DIL variable identifier","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"PIT_ITR","LGA_CODE_2024","2024 Local Government Area code.","ABS ASGS Local Government Areas","https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs/edition-3-july-2021-june-2026/non-abs-structures/local-government-areas"
"PIT_ITR","NNELGBTXEXMPTN_FBT_TTLRPRTBAMT","Total reportable fringe benefits amount from employers not exempt from FBT under section 57A of the FBTAA 1986.","ATO Individual tax return instructions and related PLIDA DIL field","https://www.ato.gov.au/api/public/content/a9a181ef-2223-491e-9e44-2de03b272a91_Individual_tax_return_instructions_2022_pdf"
"PIT_ITR","NNELGBTXEXPTN_FBT_TTLRPRTBAMT","Total reportable fringe benefits amount from employers not exempt from FBT under section 57A of the FBTAA 1986.","ATO Individual tax return instructions and related PLIDA DIL field","https://www.ato.gov.au/api/public/content/a9a181ef-2223-491e-9e44-2de03b272a91_Individual_tax_return_instructions_2022_pdf"
"PIT_ITR","SA1_CODE_2021","2021 Statistical Area Level 1 code.","ABS ASGS Edition 3 and related PLIDA DIL descriptions","https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/main-structure-and-greater-capital-city-statistical-areas"
"PIT_ITR","SA2_CODE_2021","2021 Statistical Area Level 2 code.","ABS ASGS Edition 3 and related PLIDA DIL descriptions","https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/main-structure-and-greater-capital-city-statistical-areas"
"PIT_ITR","SA3_CODE_2021","2021 Statistical Area Level 3 code.","ABS ASGS Edition 3 and related PLIDA DIL descriptions","https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/main-structure-and-greater-capital-city-statistical-areas"
"PIT_ITR","SA4_CODE_2021","2021 Statistical Area Level 4 code.","ABS ASGS Edition 3 and related PLIDA DIL descriptions","https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/main-structure-and-greater-capital-city-statistical-areas"
"PIT_ITR","STATE_CODE_2021","2021 state or territory code.","ABS ASGS Edition 3 and related PLIDA DIL descriptions","https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/main-structure-and-greater-capital-city-statistical-areas"
"PIT_PS","AGE2122_END","Age at the end of the 2021-22 financial year.","Related PLIDA DIL age-variable descriptions","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"PIT_PS","AGE2122_START","Age at the start of the 2021-22 financial year.","Related PLIDA DIL age-variable descriptions","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/person-level-integrated-data-asset-plida"
"VISA","VA_IELTS_ENGLISH_PROF","English-proficiency category associated with the visa applicant’s IELTS result.","Home Affairs English language visa requirements and PLIDA DIL identifier","https://immi.homeaffairs.gov.au/help-support/meeting-our-requirements/english-language"
"VISA","VA_IELTS_OVRL","Overall IELTS band score recorded for the visa application.","Home Affairs English language visa requirements and PLIDA DIL identifier","https://immi.homeaffairs.gov.au/help-support/meeting-our-requirements/english-language"
